name,location,sector,website,description
Ceramics Studio Co-op,London,Ceramics,http://www.ceramicsstudio.coop/,"Ceramics Studio Co-op is an artist-run purpose designed ceramics and sculpture workshop which operates as a  workers cooperative.  The studio is owned and run by the people who work in it and have equal say in what business does. We were set up in response to the lack of ceramics workshops accessible to new makers, and as an attempt to create a space of ethical employment for artists and designers."
Calverts,London,Print,http://www.calverts.coop/,"Calverts has been busy producing remarkable print, designs, brands and publications for over 30 years, for customers and clients in fine and applied arts, business, government, education, the third sector and the wider community. Calverts service is 100% professional. Our approach and ethos are 100% co-operative. "
Blake House,London,Film,http://blake.house,"We are value-driven-&-award-winning filmmakers responsibly promoting causes through our craft. We see filmmaking as a powerful tool – an amplifier, with which comes a great responsibility for us as filmmakers to embolden honest messages and use our best judgement to do so. Working exclusively with companies, organisations, and individuals who share our values, we are equipped to understand and cater to your specific needs and audience. Drawing on our experience in marketing, advertising and visual storytelling, we want to give your stories a personalised voice that is loud, clear and effective."
Paper Rhino,Peterborough,Graphics Design,http://paperrhino.co.uk/,"Paper Rhino is a creative co-op specialising in illustration, video, typography and design. We are passionate about our disciplines and equally as passionate about working in a socially responsible way. We started Paper Rhino in 2011 so we could provide affordable design to ethically-conscious organisations, small companies, arts organisations, NGO’s and charities. Since then we have grown in number and adopted the co-operative business model, offering what is fairest for those who work for us and our clients. We are a highly creative team that are bordering on the obsessive when it comes to our individual skills. Through our work, and the way we work, we are passionate in our belief that we can make the world a more beautiful place. Please take a few moments to have a look at our portfolio and if you like what you see, drop us a line – we’d love to hear from you."
Media Co-op,Glasgow,Media,http://mediaco-op.net/,"media co-op is a creative agency and workers’ co-operative producing film, animation, social media, web and apps, design and branding for third and public sector clients. media co-op has a strong track record in participatory work, engaging and involving people in projects across the full spectrum of our work. media co-op’s friendly, committed, multi-lingual team brings together decades of award-winning corporate communications, broadcast and community video experience to produce powerful, engaging and creative work."
Outlandish,London,software,http://outlandish.com/,"We are an award-winning digital partnership (soon to be Co-operative Consortium) in north London. We make data-tools, websites and web applications for all sorts of great people, from media organisations to universities, not-for-profits and financial services.We’ve been doing this since 2010 when the first two Outlanders (Harry & Tam) set up shop around a kitchen table. Now we have a proper office in Finsbury Park to house our small but perfectly formed team of coders, designers and project managers – and a host of successful projects behind us."
deep:black ,London,"arts, events",http://www.deepblack.org.uk,"deep:black is an award winning organisation that specialises in using the arts to explore challenges, create dialogue, develop communication and build connection across diversity and difference. We design and deliver a range of training programmes and workshops for young people and adults as well as staging innovative performance and arts-based events.
deep:black was established in 2008 as a creative not-for-profit co-operative based in Tower Hamlets, London. The team has a combined expertise in mediation, conflict resolution, theatre, performance, photography, film, story-telling, youth and community development, team and organisational development, and events management. We are supported by a pool of associate artists, facilitators and volunteers."
wave,Hastings,graphic design,http://www.wave.coop/index.html,"wave was established as a worker co-operative in 1987 and the business has always been guided by co-operative values and principles. From day one we chose to work with socially responsible organisations, helping them to communicate more effectively. Nearly 30 years later, we remain true to our roots and are proud to work with charities, NGO's, education and co-operatives. Our work includes design for print, identity and digital design. "
Graphics Coop,Edinburgh,Graphic design,http://www.graphics.coop,"We specialise in design, print and digital services for the third sector. We’re experts when it comes to graphic design and layout, print production, designing and creating websites, and other digital services. We enable and empower organisations to captivate their audiences, and get their message across in a clear and powerful way. Our values as a worker co-operative mean we’re committed to helping you make the world a better place."
Minesweeper Collective,London,Visual arts,http://minesweepercollective.co.uk/ ,"Minesweeper Collective is made out of creative individuals working together in a co-operative structre. We specialise in the making of design, screen-printing and the organisation of artistic and cultural events. We have built a printing and graphic studio in the hull. The ship is used as an art laboratory where we collectievly make artwork, provide artistic services and host artists in residence. Thanks to the collaboration and support of artists and businesses, we organise open workshops and stalls. In particular we also organise monthly art exhibitions at the Birds Nest in Deptford, in a gallery inside the pub named ""Undercurrents Gallery""."
